Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/lukecater/BCIT_test/blob/5cd3d819d3092e99a38a3ce2877d9cb402b7b24b/wallpaper_Page_01.png,00:00:10,01:00:00,2001-01-18 00:00,12/31/30 23:59,yes
Exhibit02,https://github.com/lukecater/BCIT_test/blob/main/wallpaper_Page_02.png,00:00:10,01:00:00,2001-01-18 00:00,12/31/30 23:59,yes
Exhibit03,https://github.com/lukecater/BCIT_test/blob/main/wallpaper_Page_03.png,00:00:10,01:00:00,2001-01-18 00:00,12/31/30 23:59,yes
Exhibit04,https://github.com/lukecater/BCIT_test/blob/main/wallpaper_Page_04.png,00:00:10,01:00:00,2001-01-18 00:00,12/31/30 23:59,yes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
, ,,,,,
